group,signal,kind,left,right,rows,flight_weight
KRDU/train,raw,height_m,100.0,125.0,22772,130.7430733937785
KRDU/train,raw,height_m,125.0,150.0,23773,138.03036589390445
KRDU/train,raw,height_m,150.0,175.0,21321,123.62939813209323
KRDU/train,raw,height_m,175.0,200.0,21828,125.28407242249443
KRDU/train,raw,height_m,200.0,225.0,21345,122.68064389601818
KRDU/train,raw,height_m,225.0,250.0,24677,143.69136070234572
KRDU/train,raw,height_m,250.0,275.0,22633,131.1774836141235
KRDU/train,raw,height_m,275.0,300.0,23760,136.37108192928304
KRDU/train,raw,height_m,300.0,325.0,22924,132.33381484204347
KRDU/train,raw,height_m,325.0,350.0,24734,144.31666299234166
KRDU/train,raw,height_m,350.0,375.0,21336,123.29976024747361
KRDU/train,raw,height_m,375.0,400.0,21984,126.2225852187537
KRDU/train,raw,height_m,400.0,425.0,22271,129.31054589566588
KRDU/train,raw,height_m,425.0,450.0,19537,113.00385473544065
KRDU/train,raw,height_m,450.0,475.0,24380,133.8753223468011
KRDU/train,raw,height_m,475.0,500.0,36983,191.81691991740763
KRDU/train,raw,height_m,500.0,525.0,35783,187.64901233099772
KRDU/train,raw,height_m,525.0,550.0,26103,138.35188150706108
KRDU/train,raw,height_m,550.0,575.0,32931,166.28641737952057
KRDU/train,raw,height_m,575.0,600.0,21218,119.84696024357436
KRDU/train,raw,height_m,600.0,625.0,17966,103.32473993966278
KRDU/train,raw,height_m,625.0,650.0,18083,102.39400769675422
KRDU/train,raw,height_m,650.0,675.0,17469,98.98161549859378
KRDU/train,raw,height_m,675.0,700.0,18397,105.7788988647435
KRDU/train,raw,height_m,700.0,725.0,16709,95.42261069523374
KRDU/train,raw,height_m,725.0,750.0,17714,100.44117543268385
KRDU/train,raw,height_m,750.0,775.0,22628,129.3714845813006
KRDU/train,raw,height_m,775.0,800.0,46923,249.34965810727044
KRDU/train,raw,height_m,800.0,825.0,70188,374.7209757235905
KRDU/train,raw,height_m,825.0,850.0,37646,203.15424264665398
KRDU/train,raw,height_m,850.0,875.0,16218,91.56915357366324
KRDU/train,raw,height_m,875.0,900.0,12999,73.12621258723811
KRDU/train,raw,height_m,900.0,925.0,12434,69.45100417025151
KRDU/train,raw,height_m,925.0,950.0,12524,70.09475421414936
KRDU/train,raw,height_m,950.0,975.0,11437,64.0126176948288
KRDU/train,raw,height_m,975.0,1000.0,10989,61.0189415764562
KRDU/train,raw,height_m,1000.0,1025.0,10923,59.92038388363926
KRDU/train,raw,height_m,1025.0,1050.0,11372,62.65516710298198
KRDU/train,raw,height_m,1050.0,1075.0,10767,58.707505461002256
KRDU/train,raw,height_m,1075.0,1100.0,14409,75.09019897073631
KRDU/train,raw,height_m,1100.0,1125.0,15404,79.4683550280215
KRDU/train,raw,height_m,1125.0,1150.0,20669,105.81999369832738
KRDU/train,raw,height_m,1150.0,1175.0,11402,55.46834582063639
KRDU/train,raw,height_m,1175.0,1200.0,7574,35.98108992810103
KRDU/train,raw,height_m,1200.0,1225.0,6941,32.799003325871126
KRDU/train,raw,height_m,1225.0,1250.0,6015,27.601158221502374
KRDU/train,raw,height_m,1250.0,1275.0,5847,25.99548620728001
KRDU/train,raw,height_m,1275.0,1300.0,5410,23.189372160198218
KRDU/train,raw,height_m,1300.0,1325.0,5238,21.27268913791977
KRDU/train,raw,height_m,1325.0,1350.0,4687,18.18928342029176
KRDU/train,raw,height_m,1350.0,1375.0,4754,18.02923878709771
KRDU/train,raw,height_m,1375.0,1400.0,4897,18.114344648623046
KRDU/train,raw,height_m,1400.0,1425.0,4718,16.96492424738426
KRDU/train,raw,height_m,1425.0,1450.0,4747,16.95089712519257
KRDU/train,raw,height_m,1450.0,1475.0,4960,17.483643649932674
KRDU/train,raw,height_m,1475.0,1500.0,4959,17.464446472187774
KRDU/train,raw,height_m,1500.0,1525.0,4227,14.740309712729868
KRDU/train,raw,height_m,1525.0,1550.0,4189,14.488746102749246
KRDU/train,raw,height_m,1550.0,1575.0,4339,15.007574895570542
KRDU/train,raw,height_m,1575.0,1600.0,4094,14.072146698880715
KRDU/train,raw,height_m,1600.0,1625.0,4196,14.300267722912395
KRDU/train,raw,height_m,1625.0,1650.0,4070,13.850231891555268
KRDU/train,raw,height_m,1650.0,1675.0,4426,14.992263425657256
KRDU/train,raw,height_m,1675.0,1700.0,4480,15.116398925023532
KRDU/train,raw,height_m,1700.0,1725.0,4952,16.555224042635928
KRDU/train,raw,height_m,1725.0,1750.0,4952,16.543315484601408
KRDU/train,raw,height_m,1750.0,1775.0,5173,17.364651430881167
KRDU/train,raw,height_m,1775.0,1800.0,5572,18.57135907585416
KRDU/train,raw,height_m,1800.0,1825.0,4919,16.556487992592338
KRDU/train,raw,height_m,1825.0,1850.0,4846,16.27466167905277
KRDU/train,raw,height_m,1850.0,1875.0,4412,14.78993942377383
KRDU/train,raw,height_m,1875.0,1900.0,4527,15.183702847670247
KRDU/train,raw,height_m,1900.0,1925.0,4413,14.739420191583122
